Date,AAPL,AMZN,GOOG,MSFT,NFLX
2015-01-02 00:00:00-05:00,24.56570053100586,15.425999641418457,26.16865348815918,40.709468841552734,49.84857177734375
2015-01-05 00:00:00-05:00,23.87364387512207,15.10949993133545,25.623151779174805,40.33510971069336,47.31142807006836
2015-01-06 00:00:00-05:00,23.875885009765625,14.76449966430664,25.029281616210938,39.743106842041016,46.50143051147461
2015-01-07 00:00:00-05:00,24.210681915283203,14.920999526977539,24.986400604248047,40.24803924560547,46.74285888671875
2015-01-08 00:00:00-05:00,25.140913009643555,15.02299976348877,25.065183639526367,41.432064056396484,47.779998779296875
2015-01-09 00:00:00-05:00,25.167877197265625,14.846500396728516,24.740575790405273,41.08381652832031,47.04142761230469
2015-01-12 00:00:00-05:00,24.547727584838867,14.570500373840332,24.560070037841797,40.570167541503906,45.547142028808594
2015-01-13 00:00:00-05:00,24.765674591064453,14.737000465393066,24.741073608398438,40.3612174987793,46.255714416503906
2015-01-14 00:00:00-05:00,24.671300888061523,14.66349983215332,24.974931716918945,40.01298904418945,46.31999969482422
2015-01-15 00:00:00-05:00,24.001720428466797,14.34749984741211,25.02080535888672,39.59508514404297,46.25143051147461
2015-01-16 00:00:00-05:00,23.815227508544922,14.536999702453613,25.334444046020508,40.25675964355469,48.191429138183594
2015-01-20 00:00:00-05:00,24.428630828857422,14.472000122070312,25.275606155395508,40.3873405456543,49.82857131958008
2015-01-21 00:00:00-05:00,24.61512565612793,14.862500190734863,25.83108139038086,39.978153228759766,58.468570709228516
2015-01-22 00:00:00-05:00,25.255508422851562,15.515999794006348,26.64634132385254,41.03158950805664,61.20571517944336
2015-01-23 00:00:00-05:00,25.38582992553711,15.619500160217285,26.923580169677734,41.07511901855469,62.494285583496094
2015-01-26 00:00:00-05:00,25.412790298461914,15.482999801635742,26.68722915649414,40.92711639404297,63.79428482055664
2015-01-27 00:00:00-05:00,24.523006439208984,15.337499618530273,25.86050033569336,37.139991760253906,64.88143157958984
2015-01-28 00:00:00-05:00,25.909366607666016,15.195500373840332,25.4301815032959,35.86017990112305,63.20857238769531
2015-01-29 00:00:00-05:00,26.71600914001465,15.58899974822998,25.463090896606445,36.574092864990234,63.400001525878906
2015-01-30 00:00:00-05:00,26.325044631958008,17.726499557495117,26.65282440185547,35.17242431640625,63.11428451538086
2015-02-02 00:00:00-05:00,26.655345916748047,18.223499298095703,26.351652145385742,35.93855285644531,63.0099983215332
2015-02-03 00:00:00-05:00,26.659832000732422,18.177499771118164,26.38954734802246,36.21713638305664,65.27428436279297
2015-02-04 00:00:00-05:00,26.86430549621582,18.237499237060547,26.066434860229492,36.426090240478516,64.10143280029297
2015-02-05 00:00:00-05:00,27.056055068969727,18.694499969482422,26.306774139404297,36.9571647644043,64.12999725341797
2015-02-06 00:00:00-05:00,26.828216552734375,18.714000701904297,26.477306365966797,36.92232894897461,63.47999954223633
2015-02-09 00:00:00-05:00,27.006423950195312,18.527999877929688,26.31924057006836,36.8787956237793,63.29571533203125
2015-02-10 00:00:00-05:00,27.52525520324707,18.649999618530273,26.77349281311035,37.0877571105957,64.8499984741211
2015-02-11 00:00:00-05:00,28.17041015625,18.756999969482422,26.725126266479492,36.89622497558594,64.98428344726562
2015-02-12 00:00:00-05:00,28.52683448791504,18.85849952697754,27.072172164916992,37.51433563232422,65.24714660644531
2015-02-13 00:00:00-05:00,28.666690826416016,19.09149932861328,27.375341415405273,38.193424224853516,66.5857162475586
2015-02-17 00:00:00-05:00,28.83587646484375,18.771499633789062,27.067686080932617,38.21095657348633,67.13714599609375
2015-02-18 00:00:00-05:00,29.036640167236328,18.668500900268555,26.911115646362305,38.167110443115234,67.86571502685547
2015-02-19 00:00:00-05:00,28.975732803344727,18.950000762939453,27.069181442260742,38.14081954956055,67.80000305175781
2015-02-20 00:00:00-05:00,29.21259117126465,19.183000564575195,26.87371826171875,38.456459045410156,68.31428527832031
2015-02-23 00:00:00-05:00,30.00213050842285,19.006999969482422,26.522682189941406,38.710731506347656,67.40571594238281
2015-02-24 00:00:00-05:00,29.81488800048828,18.929500579833984,26.731109619140625,38.658119201660156,67.83999633789062
2015-02-25 00:00:00-05:00,29.05243492126465,19.26849937438965,27.11904525756836,38.570438385009766,68.33285522460938
2015-02-26 00:00:00-05:00,29.420122146606445,19.239999771118164,27.697954177856445,38.631813049316406,69.00428771972656
2015-02-27 00:00:00-05:00,28.977991104125977,19.007999420166016,27.843555450439453,38.44770050048828,67.84428405761719
2015-03-02 00:00:00-05:00,29.120107650756836,19.283000946044922,28.488784790039062,38.473976135253906,68.60713958740234
2015-03-03 00:00:00-05:00,29.181015014648438,19.230499267578125,28.603469848632812,37.947914123535156,67.81571197509766
2015-03-04 00:00:00-05:00,28.99603271484375,19.13599967956543,28.59000587463379,37.7550163269043,67.11000061035156
2015-03-05 00:00:00-05:00,28.51555061340332,19.39150047302246,28.6877384185791,37.79885482788086,66.80714416503906
2015-03-06 00:00:00-05:00,28.55840301513672,19.004499435424805,28.306533813476562,37.141258239746094,64.87428283691406
2015-03-09 00:00:00-04:00,28.680227279663086,18.92799949645996,28.364625930786133,37.570899963378906,63.66143035888672
2015-03-10 00:00:00-04:00,28.086952209472656,18.475500106811523,27.67452049255371,36.85191345214844,62.15142822265625
2015-03-11 00:00:00-04:00,27.57488250732422,18.318500518798828,27.483543395996094,36.80805969238281,62.88428497314453
2015-03-12 00:00:00-04:00,28.073415756225586,18.711999893188477,27.699451446533203,35.96634292602539,64.04571533203125
